# t(мкс)  T(K)  p(МПа)  sigma(1/(Ом·см))  q(Вт/см³)  Rd(Ом)  Fr(Вт/см²)
14.0000 5400.0 0.718914 0.000000e+00 0.000000e+00 59.985608 2.526858e-01
15.0000 5738.7 0.755653 1.018836e+00 2.021486e+00 34.007892 1.602890e+00
16.0000 6012.8 0.789053 1.790549e+00 1.321156e+01 23.508397 3.599710e+00
17.0000 6244.4 0.820089 2.587972e+00 2.967093e+01 17.846799 -3.827728e+00
18.0000 6450.6 0.847791 3.411962e+00 -3.078005e+01 14.432431 -4.042535e+00
19.0000 6639.6 0.873690 4.221238e+00 -3.245011e+01 12.124455 1.674012e+00
20.0000 6816.0 0.898179 5.026780e+00 1.397595e+01 10.450086 1.260503e+01
21.0000 6982.7 0.921523 5.834047e+00 1.025355e+02 9.176324 2.828221e+01
22.0000 7140.2 0.943430 6.645592e+00 2.293428e+02 8.179792 1.721240e+01
23.0000 7289.6 0.963819 7.457635e+00 1.398550e+02 7.379490 1.797384e+01
24.0000 7432.6 0.983608 8.267717e+00 1.460328e+02 6.720062 3.367441e+01
25.0000 7570.6 1.002948 9.080175e+00 2.726812e+02 6.165631 6.345361e+01
26.0000 7704.2 1.021913 9.897777e+00 5.127784e+02 5.692509 1.066936e+02
27.0000 7834.1 1.040553 1.072146e+01 8.612801e+02 5.283481 1.629777e+02
28.0000 7960.7 1.058906 1.155248e+01 1.314783e+03 4.926075 2.320095e+02
29.0000 8086.0 1.076808 1.239163e+01 1.870856e+03 4.604072 2.605185e+02
30.0000 8214.9 1.094442 1.325951e+01 2.099937e+03 4.304181 2.969386e+02
31.0000 8345.2 1.112965 1.418314e+01 2.394408e+03 4.031427 3.724867e+02
32.0000 8474.5 1.131862 1.514323e+01 3.003654e+03 3.786700 4.877250e+02
33.0000 8600.6 1.150786 1.612275e+01 3.932301e+03 3.569674 6.405733e+02
34.0000 8721.7 1.169413 1.710410e+01 5.163150e+03 3.378833 8.267861e+02
35.0000 8836.8 1.187482 1.807152e+01 6.661535e+03 3.211814 1.040875e+03
36.0000 8945.2 1.204814 1.901273e+01 8.382905e+03 3.065896 1.276953e+03
37.0000 9046.8 1.221312 1.991911e+01 1.027967e+04 2.938146 1.485543e+03
38.0000 9140.8 1.236500 2.078698e+01 1.195260e+04 2.826960 1.670565e+03
39.0000 9228.3 1.250763 2.160598e+01 1.343626e+04 2.729104 1.882541e+03
40.0000 9310.2 1.264286 2.238182e+01 1.513664e+04 2.642165 2.116524e+03
41.0000 9387.1 1.277151 2.311930e+01 1.701312e+04 2.564293 2.368477e+03
42.0000 9459.6 1.289421 2.382230e+01 1.903325e+04 2.494049 2.635123e+03
43.0000 9528.1 1.301153 2.449407e+01 2.117075e+04 2.430297 2.913778e+03
44.0000 9593.1 1.312394 2.513737e+01 2.340409e+04 2.372120 3.202226e+03
45.0000 9654.8 1.323185 2.575456e+01 2.571551e+04 2.318772 3.498624e+03
46.0000 9713.6 1.333561 2.634773e+01 2.809027e+04 2.269639 3.801436e+03
47.0000 9769.6 1.343555 2.691869e+01 3.051607e+04 2.224208 4.109373e+03
48.0000 9823.3 1.353194 2.746906e+01 3.298261e+04 2.182048 4.421354e+03
49.0000 9874.6 1.362504 2.800031e+01 3.548125e+04 2.142793 4.736466e+03
50.0000 9923.8 1.371507 2.851372e+01 3.800471e+04 2.106132 5.053939e+03
51.0000 9971.1 1.380223 2.901048e+01 4.054683e+04 2.071798 5.373120e+03
52.0000 10016.6 1.388672 2.949165e+01 4.310241e+04 2.039373 5.685724e+03
53.0000 10060.1 1.396731 2.996100e+01 4.560337e+04 2.008766 5.985193e+03
54.0000 10101.9 1.404496 3.041792e+01 4.799895e+04 1.980075 6.285521e+03
55.0000 10142.1 1.412029 3.085897e+01 5.040255e+04 1.953080 6.586760e+03
56.0000 10180.9 1.419350 3.128579e+01 5.281347e+04 1.927598 6.888764e+03
57.0000 10218.4 1.426480 3.169964e+01 5.523053e+04 1.903474 7.191441e+03
58.0000 10254.7 1.433433 3.210164e+01 5.765299e+04 1.880575 7.494698e+03
59.0000 10289.9 1.440223 3.249275e+01 6.008009e+04 1.858789 7.798440e+03
60.0000 10324.0 1.446861 3.287380e+01 6.251106e+04 1.838020 8.102572e+03
61.0000 10357.2 1.453358 3.324548e+01 6.494513e+04 1.818182 8.406995e+03
62.0000 10389.6 1.459723 3.360840e+01 6.738151e+04 1.799203 8.711613e+03
63.0000 10421.0 1.465962 3.396310e+01 6.981942e+04 1.781019 9.016327e+03
64.0000 10451.7 1.472082 3.431004e+01 7.225806e+04 1.763571 9.321039e+03
65.0000 10481.6 1.478090 3.464964e+01 7.469665e+04 1.746811 9.625654e+03
66.0000 10510.8 1.483990 3.498227e+01 7.713441e+04 1.730691 9.930074e+03
67.0000 10539.3 1.489787 3.530825e+01 7.957057e+04 1.715171 1.023420e+04
68.0000 10567.2 1.495485 3.562788e+01 8.200436e+04 1.700215 1.053795e+04
69.0000 10594.4 1.501089 3.594142e+01 8.443503e+04 1.685789 1.084122e+04
70.0000 10621.1 1.506600 3.624912e+01 8.686184e+04 1.671864 1.114392e+04
71.0000 10647.1 1.512023 3.655119e+01 8.928405e+04 1.658410 1.144597e+04
72.0000 10672.7 1.517359 3.684783e+01 9.170095e+04 1.645404 1.174726e+04
73.0000 10697.6 1.522613 3.713922e+01 9.411183e+04 1.632821 1.204773e+04
74.0000 10722.1 1.527785 3.742553e+01 9.651601e+04 1.620642 1.234728e+04
75.0000 10746.1 1.532877 3.770692e+01 9.891281e+04 1.608845 1.264584e+04
76.0000 10769.6 1.537893 3.798352e+01 1.013016e+05 1.597412 1.294332e+04
77.0000 10792.6 1.542834 3.825546e+01 1.036817e+05 1.586328 1.323964e+04
78.0000 10815.2 1.547700 3.852288e+01 1.060524e+05 1.575575 1.353472e+04
79.0000 10837.3 1.552495 3.878588e+01 1.084133e+05 1.565140 1.382851e+04
80.0000 10859.0 1.557219 3.904458e+01 1.107637e+05 1.555009 1.412091e+04
81.0000 10880.3 1.561874 3.929906e+01 1.131030e+05 1.545168 1.441187e+04
82.0000 10901.2 1.566460 3.954942e+01 1.154306e+05 1.535607 1.470130e+04
83.0000 10921.7 1.570980 3.979576e+01 1.177461e+05 1.526314 1.498916e+04
84.0000 10941.8 1.575433 4.003815e+01 1.200489e+05 1.517278 1.527537e+04
85.0000 10961.5 1.579822 4.027668e+01 1.223384e+05 1.508490 1.555988e+04
86.0000 10980.9 1.584148 4.051141e+01 1.246143e+05 1.499937 1.584269e+04
87.0000 10999.9 1.588413 4.074249e+01 1.268765e+05 1.491612 1.612374e+04
88.0000 11018.6 1.592636 4.096996e+01 1.291247e+05 1.483498 1.640342e+04
89.0000 11037.0 1.596824 4.119408e+01 1.313633e+05 1.475584 1.668186e+04
90.0000 11055.1 1.600955 4.141510e+01 1.335906e+05 1.467864 1.695873e+04
91.0000 11072.8 1.605029 4.163298e+01 1.358053e+05 1.460335 1.723389e+04
92.0000 11090.3 1.609045 4.184770e+01 1.380061e+05 1.452994 1.750718e+04
93.0000 11107.5 1.613002 4.205921e+01 1.401919e+05 1.445836 1.777846e+04
94.0000 11124.3 1.616899 4.226750e+01 1.423616e+05 1.438858 1.804761e+04
